Tag #,COMMON NAME,BOTANICAL NAME,Latitude,Longitude,Height,Diameter,Crown height,Crown Spread,Last Update,Contributors,Notes,Last Inspection,Health,Expert Notes
1532,American Sycamore,Platanus occidentalis,37.31837897,-122.0433174,31'-45',"6""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown thin, end-weight reduction, and clearance"
1533,American Sycamore,Platanus occidentalis,37.31829886,-122.0432066,31'-45',"6""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown thin, end-weight reduction, and clearance"
1534,American Sycamore,Platanus occidentalis,37.3,-122.0,31'-45',"6""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown thin, end-weight reduction, and clearance"
1535,Coast Live Oak,Quercus agrifolia,37.31819476,-122.0425482,16'-30',"8""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1536,Coast Live Oak,Quercus agrifolia,37.3,-122.0,16'-30',"8""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1537,Nectarine Tree,Prunus persica var. nectarina,37.31820006,-122.0424863,1'-15',"1""-6""",,,,,,06/16/2022,60% - Fair,Structural pruning
1538,Cork Oak,Quercus suber,37.31821598,-122.0424304,31'-45',"19""",,,,,,06/16/2022,60% - Fair,Crown Clean  /  Crown Raise  /  Structural pruning
1539,Coast Live Oak,Quercus agrifolia,37.3181995,-122.0423583,16'-30',"1""-6""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1540,Coast Live Oak,Quercus agrifolia,37.31819806,-122.0423165,16'-30',"9""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1541,Coast Live Oak,Quercus agrifolia,37.31822157,-122.0422341,16'-30',"1""-6""",,,,,,06/16/2022,60% - Fair,"Crown clean, crown raise, crown thin, and end-weight reduction"
1542,Blue Oak,Quercus douglasii,37.31818773,-122.0421686,31'-45',"7""",,,,,,06/16/2022,60% - Fair,Structural pruning
1543,Crapemyrtle,Lagerstroemia indica,37.31935939,-122.0442317,16'-30',"5""",,,,,,06/16/2022,60% - Fair,Structural pruning
1544,Coast Redwood,Sequoia sempervirens,37.31814163,-122.0457621,46'-60',"25""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1545,Coast Redwood,Sequoia sempervirens,37.31819937,-122.0457454,46'-60',"34""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1546,Coast Redwood,Sequoia sempervirens,37.31821489,-122.0456879,46'-60',"13""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1547,Coast Redwood,Sequoia sempervirens,37.31825004,-122.0457372,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1548,Coast Redwood,Sequoia sempervirens,37.31824762,-122.0456951,46'-60',"36""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1549,Coast Redwood,Sequoia sempervirens,37.3182744,-122.0457035,46'-60',"26""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1550,Coast Redwood,Sequoia sempervirens,37.31833131,-122.0456649,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1551,Coast Redwood,Sequoia sempervirens,37.31836603,-122.0456809,46'-60',"14""",,,,,,07/01/2022,0% - Dead,Removal/Grind
1552,Coast Redwood,Sequoia sempervirens,37.31833244,-122.045734,46'-60',"21""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1553,Coast Redwood,Sequoia sempervirens,37.31836556,-122.0457298,46'-60',"18""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1554,Coast Redwood,Sequoia sempervirens,37.31835858,-122.0457782,46'-60',"20""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1555,Coast Redwood,Sequoia sempervirens,37.31839674,-122.0457694,46'-60',"18""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1556,Coast Redwood,Sequoia sempervirens,37.31840609,-122.0457097,46'-60',"15""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1557,Coast Redwood,Sequoia sempervirens,37.31843434,-122.0456936,46'-60',"15""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1558,Coast Redwood,Sequoia sempervirens,37.31844592,-122.0457331,46'-60',"9""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1559,Coast Redwood,Sequoia sempervirens,37.31841935,-122.0457916,46'-60',"17""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1560,Coast Redwood,Sequoia sempervirens,37.31845161,-122.0457718,46'-60',"12""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1561,Coast Redwood,Sequoia sempervirens,37.31847825,-122.045746,46'-60',"12""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1562,Coast Redwood,Sequoia sempervirens,37.31849309,-122.0457023,46'-60',"12""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1563,Coast Redwood,Sequoia sempervirens,37.31850016,-122.0457841,46'-60',"11""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1564,Coast Redwood,Sequoia sempervirens,37.31853392,-122.0457819,46'-60',"22""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1565,Coast Redwood,Sequoia sempervirens,37.31853169,-122.0457337,46'-60',"20""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1566,Coast Redwood,Sequoia sempervirens,37.31855401,-122.0457998,46'-60',"10""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
1567,Coast Redwood,Sequoia sempervirens,37.31856296,-122.0458204,46'-60',"12""",,,,,,06/16/2022,60% - Fair,Structural pruning and clearance
